KDS,RR,NSGAIII,A3C,D2SAC-TS
0.001,5.3878,15.4698,58.5648,5.9675
8.8121,10.7573,8.3187,30.3826,11.1992
11.7162,18.6729,17.1368,41.4112,12.7021
17.3736,12.781,20.8868,59.2756,19.3825
75.3671,14.6478,23.4959,78.4481,83.3425
