KDS,RR,NSGAIII,A3C,D2SAC-TS
0.0598,0.2359,0.2362,0.1959,0.3467
0.0674,0.0519,0.3555,0.2648,0.3628
0.0906,0.1141,0.4469,0.4726,0.4913
0.086,0.0852,0.4972,0.4035,0.4118
0.1,0.1075,0.4589,0.4439,0.5151
