KDS,RR,NSGAIII,A3C,D2SAC-TS
89.9432,41.0784,30.341,18.1113,25.5524
99.3687,93.7551,23.601,23.4002,25.9572
97.3825,84.7601,23.7589,26.6355,23.0807
117.2802,115.2903,27.6804,23.3048,22.8767
110.6572,84.9656,24.9989,23.5991,23.4054
