KDS,RR,NSGAIII,A3C,D2SAC-TS
0.0001,0.0015,0.0901,0.0265,0.3186
0.0001,0.0001,0.0895,0.052,0.0999
0.0001,0.0001,0.1006,0.1155,0.0609
0.0004,0.0001,0.0642,0.0748,0.0231
0.0001,0.0003,0.8114,0.097,0.0667
