KDS,RR,NSGAIII,A3C,D2SAC-TS
0.0339,0.045,0.2423,0.196,0.2426
0.054,0.0539,0.2628,0.1017,0.3361
0.0847,0.0687,0.3121,0.2604,0.3516
0.0901,0.0867,0.2908,0.3427,0.3951
0.0685,0.0762,0.2956,0.3013,0.3591
