KDS,RR,NSGAIII,A3C,D2SAC-TS
8.341,0,15.8334,32.5164,10.1377
10.1325,9.8496,18.7608,67.3115,17.6935
9.4223,14.8053,33.1761,71.3901,27.9742
13.6248,16.352,26.5546,76.4998,46.3678
88.5866,27.9497,49.1314,108.7217,76.8206
