KDS,RR,NSGAIII,A3C,D2SAC-TS
224.1838,261.8964,27.6793,33.8123,33.8067
199.2947,245.0681,42.3847,55.3809,43.2258
219.4363,234.0903,36.233,35.9898,35.8566
225.5106,229.4638,41.0717,35.383,35.1658
227.8263,296.8634,45.0018,39.6449,38.5353
