KDS,RR,NSGAIII,A3C,D2SAC-TS
448.5176,330.6804,50.2395,44.9066,49.0976
332.6744,298.3459,58.5843,64.2997,37.0428
359.8478,346.4598,50.1913,46.1428,35.9117
303.5324,329.9157,46.4135,52.9026,38.5907
316.2672,352.5376,50.2974,55.4718,39.6018
