KDS,RR,NSGAIII,A3C,D2SAC-TS
132.0197,29.328,59.5814,17.7132,15.69
30.8341,28.0075,54.6856,64.3513,41.224
176.0535,62.1818,51.5051,88.6761,25.0763
33.2341,50.5056,44.4886,132.3366,29.8726
74.5243,11.9383,46.2033,126.6706,73.9101
