master,node1,node2,node3
30.73952744,16.72818963,22.92849837,16.63939154
30.73952744,16.72818963,22.92849837,16.63939154
30.73952744,16.72818963,22.92849837,16.63939154
30.73952744,16.72818963,22.92849837,16.63939154
30.73952744,16.72818963,22.92849837,16.63939154
30.85045232,16.72818963,22.92849837,16.63939154
30.85045232,16.72818963,22.92849837,16.63939154
30.85045232,16.72818963,22.92849837,16.63939154
30.85045232,16.72818963,22.92849837,16.63939154
30.85045232,16.72818963,22.92849837,16.63939154
30.85045232,16.72818963,22.92849837,16.63939154
30.85045232,16.72818963,23.94866864,16.63939154
30.85045232,16.72818963,23.94866864,16.63939154
30.85045232,16.72818963,23.94866864,16.63939154
30.85045232,18.18424974,23.94866864,17.66058179
30.85045232,18.18424974,23.94866864,17.66058179
30.85045232,18.18424974,23.94866864,17.66058179
30.85045232,18.18424974,23.94866864,17.66058179
30.85045232,18.18424974,23.94866864,17.66058179
30.85045232,18.18424974,23.94866864,17.66058179
31.77410414,18.18424974,23.94866864,17.66058179
31.77410414,18.18424974,23.94866864,17.66058179
31.77410414,18.18424974,23.94866864,17.66058179
31.77410414,18.18424974,23.94866864,17.66058179
31.77410414,18.18424974,23.94866864,17.66058179
31.77410414,18.18424974,23.94866864,17.66058179
31.77410414,18.18424974,28.02365804,17.66058179
31.77410414,18.18424974,28.02365804,17.66058179
31.77410414,18.18424974,28.02365804,17.66058179
31.77410414,23.90498811,28.02365804,23.1481874
31.77410414,23.90498811,28.02365804,23.1481874
31.77410414,23.90498811,28.02365804,23.1481874
31.77410414,23.90498811,28.02365804,23.1481874
31.77410414,23.90498811,28.02365804,23.1481874
31.77410414,23.90498811,28.02365804,23.1481874
32.3821335,23.90498811,28.02365804,23.1481874
32.3821335,23.90498811,28.02365804,23.1481874
32.3821335,23.90498811,28.02365804,23.1481874
32.3821335,23.90498811,28.02365804,23.1481874
32.3821335,23.90498811,28.02365804,23.1481874
32.3821335,23.90498811,28.02365804,23.1481874
32.3821335,23.90498811,30.69355831,23.1481874
32.3821335,23.90498811,30.69355831,23.1481874
32.3821335,23.90498811,30.69355831,23.1481874
32.3821335,23.89857394,30.69355831,24.37043621
32.3821335,23.89857394,30.69355831,24.37043621
32.3821335,23.89857394,30.69355831,24.37043621
32.3821335,23.89857394,30.69355831,24.37043621
32.3821335,23.89857394,30.69355831,24.37043621
32.3821335,23.89857394,30.69355831,24.37043621
33.53214568,23.89857394,30.69355831,24.37043621
33.53214568,23.89857394,30.69355831,24.37043621
33.53214568,23.89857394,30.69355831,24.37043621
33.53214568,23.89857394,30.69355831,24.37043621
