id,tag,timestamp,value
1,episode reward,1671010767994,-325.8454284667969
2,episode reward,1671010768616,-312.03790283203125
3,episode reward,1671010769243,-281.4725646972656
4,episode reward,1671010769833,-286.11865234375
5,episode reward,1671010770387,-313.1296691894531
6,episode reward,1671010770993,-326.5908508300781
7,episode reward,1671010771549,-294.2087707519531
8,episode reward,1671010772187,-337.8384704589844
9,episode reward,1671010772802,-285.1776428222656
10,episode reward,1671010800137,-297.6087951660156
11,episode reward,1671010800789,-338.0873718261719
12,episode reward,1671010801437,-307.72576904296875
13,episode reward,1671010802284,-301.2879333496094
14,episode reward,1671010802858,-330.14056396484375
15,episode reward,1671010803392,-317.315185546875
16,episode reward,1671010803949,-332.6701354980469
17,episode reward,1671010804677,-345.94586181640625
18,episode reward,1671010805300,-347.86773681640625
19,episode reward,1671010805958,-352.1477966308594
20,episode reward,1671010833767,-292.969482421875
21,episode reward,1671010834394,-337.6758117675781
22,episode reward,1671010835043,-355.4881896972656
23,episode reward,1671010835649,-348.79779052734375
24,episode reward,1671010836290,-310.31658935546875
25,episode reward,1671010836898,-327.95745849609375
26,episode reward,1671010837483,-332.6614685058594
27,episode reward,1671010838092,-289.8704833984375
28,episode reward,1671010838685,-289.7243347167969
29,episode reward,1671010840907,-319.88983154296875
30,episode reward,1671010868371,-654.2691650390625
31,episode reward,1671010873112,-628.9491577148438
32,episode reward,1671010877467,-510.27557373046875
33,episode reward,1671010881787,-630.481201171875
34,episode reward,1671010886277,-804.0507202148438
35,episode reward,1671010891041,-725.7021484375
36,episode reward,1671010895599,-414.8301696777344
37,episode reward,1671010900601,-450.2775573730469
38,episode reward,1671010905378,-675.6906127929688
39,episode reward,1671010910084,-384.9324645996094
40,episode reward,1671010934832,-486.01226806640625
41,episode reward,1671010939796,-499.6163330078125
42,episode reward,1671010944667,-487.5077209472656
43,episode reward,1671010949520,-423.1721496582031
44,episode reward,1671010954806,-433.90655517578125
45,episode reward,1671010960536,-382.2816162109375
46,episode reward,1671010965707,-305.56793212890625
47,episode reward,1671010971085,-516.8831787109375
48,episode reward,1671010976445,-293.7928466796875
49,episode reward,1671010981486,-386.54644775390625
50,episode reward,1671011005225,-399.6556396484375
51,episode reward,1671011010342,-384.58154296875
52,episode reward,1671011015413,-343.15533447265625
53,episode reward,1671011020638,-311.5042724609375
54,episode reward,1671011025864,-306.513427734375
55,episode reward,1671011030933,-239.38096618652344
56,episode reward,1671011036464,-289.8182373046875
57,episode reward,1671011041672,-226.67649841308594
58,episode reward,1671011047076,-200.51907348632812
59,episode reward,1671011052312,-205.7926025390625
60,episode reward,1671011079023,-187.90721130371094
61,episode reward,1671011084372,-192.4720458984375
62,episode reward,1671011089684,-207.19834899902344
63,episode reward,1671011095123,-209.01727294921875
64,episode reward,1671011100731,-159.59559631347656
65,episode reward,1671011106062,-176.9300994873047
66,episode reward,1671011111499,-203.40957641601562
67,episode reward,1671011117134,-190.11204528808594
68,episode reward,1671011122815,-215.48959350585938
69,episode reward,1671011128770,-203.09747314453125
70,episode reward,1671011159686,-179.06593322753906
71,episode reward,1671011165147,-206.12266540527344
72,episode reward,1671011170574,-180.8422393798828
73,episode reward,1671011176041,-168.50155639648438
74,episode reward,1671011181661,-188.26025390625
75,episode reward,1671011187102,-176.98867797851562
76,episode reward,1671011192610,-198.380615234375
77,episode reward,1671011198086,-193.60043334960938
78,episode reward,1671011203548,-203.63320922851562
79,episode reward,1671011209043,-201.47998046875
80,episode reward,1671011236533,-215.472900390625
81,episode reward,1671011242176,-193.83224487304688
82,episode reward,1671011247656,-190.86322021484375
83,episode reward,1671011253163,-225.48350524902344
84,episode reward,1671011258724,-204.8826904296875
85,episode reward,1671011264399,-169.79916381835938
86,episode reward,1671011269947,-187.3153839111328
87,episode reward,1671011275676,-193.2314453125
88,episode reward,1671011281546,-195.7766876220703
89,episode reward,1671011287167,-202.4747314453125
90,episode reward,1671011313024,-180.50836181640625
91,episode reward,1671011318691,-188.64651489257812
92,episode reward,1671011324344,-186.8336181640625
93,episode reward,1671011329993,-190.830810546875
94,episode reward,1671011335726,-179.6399688720703
95,episode reward,1671011341455,-200.23451232910156
96,episode reward,1671011347121,-172.23658752441406
97,episode reward,1671011352756,-210.96743774414062
98,episode reward,1671011358457,-205.36126708984375
99,episode reward,1671011364311,-174.57577514648438
100,episode reward,1671011397214,-208.45262145996094
101,episode reward,1671011403385,-167.61318969726562
102,episode reward,1671011409489,-178.0577850341797
103,episode reward,1671011415893,-185.54513549804688
104,episode reward,1671011422118,-195.62803649902344
105,episode reward,1671011428311,-208.5837860107422
106,episode reward,1671011434584,-203.13282775878906
107,episode reward,1671011440871,-162.00184631347656
108,episode reward,1671011447087,-203.51783752441406
109,episode reward,1671011453257,-197.05787658691406
110,episode reward,1671011482278,-215.2845001220703
111,episode reward,1671011488422,-206.21209716796875
112,episode reward,1671011494770,-200.73597717285156
113,episode reward,1671011500866,-189.4016571044922
114,episode reward,1671011506838,-193.8885498046875
115,episode reward,1671011512542,-189.2294921875
116,episode reward,1671011518284,-206.42349243164062
117,episode reward,1671011524162,-235.83956909179688
118,episode reward,1671011529976,-228.104248046875
119,episode reward,1671011536046,-229.58349609375
120,episode reward,1671011565487,-212.03631591796875
121,episode reward,1671011571369,-198.61685180664062
122,episode reward,1671011577183,-193.89952087402344
123,episode reward,1671011583058,-216.29237365722656
124,episode reward,1671011588972,-182.33526611328125
125,episode reward,1671011594922,-166.63148498535156
126,episode reward,1671011600885,-189.04617309570312
127,episode reward,1671011606809,-160.45806884765625
128,episode reward,1671011612648,-180.51339721679688
129,episode reward,1671011618559,-197.3065948486328
130,episode reward,1671011645684,-173.72488403320312
131,episode reward,1671011651612,-164.63546752929688
132,episode reward,1671011657498,-223.05691528320312
133,episode reward,1671011663435,-203.24996948242188
134,episode reward,1671011669424,-200.00701904296875
135,episode reward,1671011675316,-175.59170532226562
136,episode reward,1671011681457,-170.5176544189453
137,episode reward,1671011687410,-195.4436492919922
138,episode reward,1671011693504,-211.6136932373047
139,episode reward,1671011699464,-180.3511505126953
140,episode reward,1671011725683,-182.2879180908203
141,episode reward,1671011731605,-206.45846557617188
142,episode reward,1671011737545,-188.65853881835938
143,episode reward,1671011743497,-178.83518981933594
144,episode reward,1671011749452,-192.12599182128906
145,episode reward,1671011755471,-187.83436584472656
146,episode reward,1671011761500,-193.60940551757812
147,episode reward,1671011767512,-213.22779846191406
148,episode reward,1671011773480,-190.8719940185547
149,episode reward,1671011779479,-196.1514434814453
150,episode reward,1671011809159,-195.72076416015625
151,episode reward,1671011815190,-201.94187927246094
152,episode reward,1671011821232,-216.40354919433594
153,episode reward,1671011827431,-186.02777099609375
154,episode reward,1671011833402,-191.4384765625
155,episode reward,1671011839411,-165.9576873779297
156,episode reward,1671011845535,-191.8219451904297
157,episode reward,1671011851727,-169.31072998046875
158,episode reward,1671011857750,-206.92547607421875
159,episode reward,1671011863771,-186.61215209960938
160,episode reward,1671011891409,-214.27297973632812
161,episode reward,1671011897456,-193.65191650390625
162,episode reward,1671011903549,-215.5869903564453
163,episode reward,1671011909642,-221.60528564453125
164,episode reward,1671011915808,-213.4704132080078
165,episode reward,1671011922059,-199.31597900390625
166,episode reward,1671011928161,-232.7975616455078
167,episode reward,1671011934289,-231.97682189941406
168,episode reward,1671011940584,-192.02406311035156
169,episode reward,1671011946740,-179.61106872558594
170,episode reward,1671011977873,-193.37062072753906
171,episode reward,1671011983942,-195.6978759765625
172,episode reward,1671011990074,-177.54454040527344
173,episode reward,1671011996264,-209.88880920410156
174,episode reward,1671012002410,-168.9672393798828
175,episode reward,1671012008667,-179.49603271484375
176,episode reward,1671012014887,-178.9225311279297
177,episode reward,1671012021376,-157.1843719482422
178,episode reward,1671012027662,-191.30934143066406
179,episode reward,1671012033844,-157.56666564941406
180,episode reward,1671012062769,-178.77197265625
181,episode reward,1671012068983,-189.39398193359375
182,episode reward,1671012075289,-195.12950134277344
183,episode reward,1671012081627,-220.1265869140625
184,episode reward,1671012087972,-186.842529296875
185,episode reward,1671012094182,-211.55812072753906
186,episode reward,1671012100455,-199.630859375
187,episode reward,1671012106648,-213.22470092773438
188,episode reward,1671012112857,-176.15977478027344
189,episode reward,1671012119058,-192.33486938476562
190,episode reward,1671012144667,-158.6840057373047
191,episode reward,1671012150906,-208.03485107421875
192,episode reward,1671012157253,-195.36947631835938
193,episode reward,1671012163423,-195.79656982421875
194,episode reward,1671012169631,-189.15631103515625
195,episode reward,1671012175872,-183.8319091796875
196,episode reward,1671012182109,-247.5856170654297
197,episode reward,1671012188365,-217.15065002441406
198,episode reward,1671012194616,-184.18238830566406
199,episode reward,1671012200875,-203.1285400390625
200,episode reward,1671012233775,-227.97317504882812
201,episode reward,1671012240040,-185.106201171875
202,episode reward,1671012246359,-186.47291564941406
203,episode reward,1671012252577,-187.33876037597656
204,episode reward,1671012258825,-186.2993927001953
205,episode reward,1671012265122,-208.5931396484375
206,episode reward,1671012271377,-153.14549255371094
207,episode reward,1671012277703,-245.28201293945312
208,episode reward,1671012283999,-198.47279357910156
209,episode reward,1671012290282,-167.8560028076172
210,episode reward,1671012317365,-212.6058349609375
211,episode reward,1671012323780,-177.22445678710938
212,episode reward,1671012330381,-204.1417999267578
213,episode reward,1671012337170,-170.3117218017578
214,episode reward,1671012343922,-171.2233123779297
215,episode reward,1671012350672,-194.28013610839844
216,episode reward,1671012357451,-170.4148406982422
217,episode reward,1671012364258,-195.64414978027344
218,episode reward,1671012371095,-202.51170349121094
219,episode reward,1671012378036,-153.95181274414062
220,episode reward,1671012411876,-192.6044921875
221,episode reward,1671012418703,-190.50643920898438
222,episode reward,1671012425510,-163.20005798339844
223,episode reward,1671012432300,-203.0679931640625
224,episode reward,1671012439013,-171.21112060546875
225,episode reward,1671012445842,-196.8367919921875
226,episode reward,1671012452575,-169.82980346679688
227,episode reward,1671012459310,-210.9515838623047
228,episode reward,1671012465885,-178.88851928710938
229,episode reward,1671012472253,-166.720703125
230,episode reward,1671012499451,-175.1015625
231,episode reward,1671012505863,-193.0009002685547
232,episode reward,1671012512192,-166.89353942871094
233,episode reward,1671012518541,-177.65980529785156
234,episode reward,1671012524943,-166.0443115234375
235,episode reward,1671012531322,-172.71865844726562
236,episode reward,1671012537800,-162.15748596191406
237,episode reward,1671012544192,-209.4507293701172
238,episode reward,1671012550592,-185.29408264160156
239,episode reward,1671012557045,-214.13446044921875
240,episode reward,1671012585671,-212.97222900390625
241,episode reward,1671012592064,-182.3755645751953
242,episode reward,1671012598491,-197.4083251953125
243,episode reward,1671012605074,-181.59005737304688
244,episode reward,1671012611627,-178.38198852539062
245,episode reward,1671012618121,-160.39633178710938
246,episode reward,1671012624593,-206.0292510986328
247,episode reward,1671012631133,-203.7270050048828
248,episode reward,1671012637573,-205.9488067626953
249,episode reward,1671012644052,-207.37477111816406
250,episode reward,1671012671840,-194.43563842773438
251,episode reward,1671012678289,-203.49874877929688
252,episode reward,1671012684763,-219.61886596679688
253,episode reward,1671012691255,-185.71543884277344
254,episode reward,1671012697738,-200.6134796142578
255,episode reward,1671012704189,-210.5156707763672
256,episode reward,1671012710650,-171.90077209472656
257,episode reward,1671012717232,-212.9506072998047
258,episode reward,1671012723742,-195.28309631347656
259,episode reward,1671012730224,-188.9610595703125
260,episode reward,1671012756701,-218.01988220214844
261,episode reward,1671012763173,-208.1241455078125
262,episode reward,1671012769758,-166.6866455078125
263,episode reward,1671012776287,-171.45123291015625
264,episode reward,1671012782800,-178.80348205566406
265,episode reward,1671012789261,-197.32089233398438
266,episode reward,1671012795828,-166.91842651367188
