id,tag,timestamp,value
146,episode reward,1.6716E+12,-216.0947876
147,episode reward,1.6716E+12,-193.2048187
148,episode reward,1.6716E+12,-200.9681091
149,episode reward,1.6716E+12,-179.235199
150,episode reward,1.6716E+12,-191.9324646
151,episode reward,1.6716E+12,-209.4604645
152,episode reward,1.6716E+12,-189.2968903
153,episode reward,1.6716E+12,-215.3899384
154,episode reward,1.6716E+12,-190.307663
155,episode reward,1.6716E+12,-240.7017975
156,episode reward,1.6716E+12,-195.8505249
157,episode reward,1.6716E+12,-188.8529053
158,episode reward,1.6716E+12,-206.883606
159,episode reward,1.6716E+12,-208.8901672
160,episode reward,1.6716E+12,-194.2467651
161,episode reward,1.6716E+12,-202.0670929
162,episode reward,1.6716E+12,-214.6610565
163,episode reward,1.6716E+12,-209.1968231
164,episode reward,1.6716E+12,-209.4658813
165,episode reward,1.6716E+12,-216.6502228
166,episode reward,1.6716E+12,-182.7678528
167,episode reward,1.6716E+12,-251.1958313
168,episode reward,1.6716E+12,-196.8586884
169,episode reward,1.6716E+12,-211.5198517
170,episode reward,1.6716E+12,-205.7432251
171,episode reward,1.6716E+12,-199.7679749
172,episode reward,1.6716E+12,-194.5255432
173,episode reward,1.6716E+12,-204.1127167
174,episode reward,1.6716E+12,-229.1646881
175,episode reward,1.6716E+12,-188.8514252
176,episode reward,1.6716E+12,-186.4167938
177,episode reward,1.6716E+12,-188.321701
178,episode reward,1.6716E+12,-223.8217468
179,episode reward,1.6716E+12,-197.9038696
180,episode reward,1.6716E+12,-208.6519165
181,episode reward,1.6716E+12,-207.0574493
182,episode reward,1.6716E+12,-215.8885498
183,episode reward,1.6716E+12,-200.9605713
184,episode reward,1.6716E+12,-207.6779633
185,episode reward,1.6716E+12,-203.0030518
186,episode reward,1.6716E+12,-221.282547
187,episode reward,1.6716E+12,-225.2159729
188,episode reward,1.6716E+12,-226.9617004
189,episode reward,1.6716E+12,-220.4864655
190,episode reward,1.6716E+12,-184.8692322
191,episode reward,1.6716E+12,-201.8530579
192,episode reward,1.6716E+12,-190.7664032
193,episode reward,1.6716E+12,-201.4016266
194,episode reward,1.6716E+12,-224.8937378
195,episode reward,1.6716E+12,-186.1533508
196,episode reward,1.6716E+12,-204.5465851
197,episode reward,1.6716E+12,-214.1282349
198,episode reward,1.6716E+12,-195.9165192
199,episode reward,1.6716E+12,-184.9454803
200,episode reward,1.6716E+12,-195.207077
201,episode reward,1.6716E+12,-184.9403229
202,episode reward,1.6716E+12,-203.7709045
203,episode reward,1.6716E+12,-167.2637939
204,episode reward,1.6716E+12,-209.2917023
205,episode reward,1.6716E+12,-228.1060486
206,episode reward,1.6716E+12,-202.5939331
207,episode reward,1.6716E+12,-214.640625
208,episode reward,1.6716E+12,-211.7274323
209,episode reward,1.6716E+12,-236.3900909
210,episode reward,1.6716E+12,-191.0838318
211,episode reward,1.6716E+12,-177.2701569
212,episode reward,1.6716E+12,-196.8176727
213,episode reward,1.6716E+12,-228.3759308
214,episode reward,1.6716E+12,-231.038681
215,episode reward,1.6716E+12,-206.1268616
216,episode reward,1.6716E+12,-215.2898407
217,episode reward,1.6716E+12,-197.9989929
218,episode reward,1.6716E+12,-218.4000092
219,episode reward,1.6716E+12,-204.2423706
220,episode reward,1.6716E+12,-182.7825775
221,episode reward,1.6716E+12,-215.4883423
222,episode reward,1.6716E+12,-208.7530823
223,episode reward,1.6716E+12,-210.5328217
224,episode reward,1.6716E+12,-209.6947632
225,episode reward,1.6716E+12,-211.190506
226,episode reward,1.6716E+12,-239.1195679
227,episode reward,1.6716E+12,-203.2250519
228,episode reward,1.6716E+12,-202.2910004
229,episode reward,1.6716E+12,-190.2358551
230,episode reward,1.6716E+12,-199.0477448
231,episode reward,1.6716E+12,-173.7181854
232,episode reward,1.6716E+12,-188.734024
233,episode reward,1.6716E+12,-214.234726
234,episode reward,1.6716E+12,-204.619812
235,episode reward,1.6716E+12,-244.2167206
236,episode reward,1.6716E+12,-199.2284546
237,episode reward,1.6716E+12,-220.9682617
238,episode reward,1.6716E+12,-175.805191
239,episode reward,1.6716E+12,-180.9267426
240,episode reward,1.6716E+12,-192.9112091
241,episode reward,1.6716E+12,-215.7954865
242,episode reward,1.6716E+12,-179.0926971
243,episode reward,1.6716E+12,-176.3856506
244,episode reward,1.6716E+12,-190.821106
245,episode reward,1.6716E+12,-218.3464203
246,episode reward,1.6716E+12,-195.0353699
247,episode reward,1.6716E+12,-184.96698
248,episode reward,1.6716E+12,-194.1914215
249,episode reward,1.6716E+12,-180.8641357
250,episode reward,1.6716E+12,-218.058609
251,episode reward,1.6716E+12,-203.1625519
252,episode reward,1.6716E+12,-226.5247192
253,episode reward,1.6716E+12,-258.7158508
254,episode reward,1.6716E+12,-236.7961426
255,episode reward,1.6716E+12,-226.2234497
256,episode reward,1.6716E+12,-266.9967957
257,episode reward,1.6716E+12,-231.6890869
258,episode reward,1.6716E+12,-218.1402588
259,episode reward,1.6716E+12,-204.44133
260,episode reward,1.6716E+12,-227.9634857
261,episode reward,1.6716E+12,-221.4451294
262,episode reward,1.6716E+12,-185.309494
263,episode reward,1.6716E+12,-195.4958649
264,episode reward,1.6716E+12,-207.3478699
265,episode reward,1.6716E+12,-233.237854
266,episode reward,1.6716E+12,-188.2388916
267,episode reward,1.6716E+12,-201.2578125
268,episode reward,1.6716E+12,-238.4910583
269,episode reward,1.6716E+12,-198.2717896
270,episode reward,1.6716E+12,-212.8490448
271,episode reward,1.6716E+12,-208.9459686
272,episode reward,1.6716E+12,-236.0551147
273,episode reward,1.6716E+12,-229.8391876
274,episode reward,1.6716E+12,-222.592926
275,episode reward,1.6716E+12,-203.7664032
276,episode reward,1.6716E+12,-221.7622681
277,episode reward,1.6716E+12,-204.3175964
278,episode reward,1.6716E+12,-219.2066803
279,episode reward,1.6716E+12,-227.7687988
280,episode reward,1.6716E+12,-245.5279541
281,episode reward,1.6716E+12,-235.31073
282,episode reward,1.6716E+12,-219.5184937
283,episode reward,1.6716E+12,-219.5813751
284,episode reward,1.6716E+12,-203.2750854
285,episode reward,1.6716E+12,-226.8433075
286,episode reward,1.6716E+12,-229.9084015
287,episode reward,1.6716E+12,-228.3000641
288,episode reward,1.6716E+12,-229.8335419
289,episode reward,1.6716E+12,-211.5189056
290,episode reward,1.6716E+12,-208.8465881
291,episode reward,1.6716E+12,-207.4436188
292,episode reward,1.6716E+12,-206.6810913
293,episode reward,1.6716E+12,-212.725647
294,episode reward,1.6716E+12,-272.6532593
295,episode reward,1.6716E+12,-246.1886597
296,episode reward,1.6716E+12,-184.2276917
297,episode reward,1.6716E+12,-261.6843567
298,episode reward,1.6716E+12,-239.8015747
299,episode reward,1.6716E+12,-233.0174103
300,episode reward,1.6716E+12,-212.7411957
301,episode reward,1.6716E+12,-232.7907715
302,episode reward,1.6716E+12,-241.8076324
303,episode reward,1.6716E+12,-209.9563904
304,episode reward,1.6716E+12,-210.2332001
305,episode reward,1.6716E+12,-226.4420013
306,episode reward,1.6716E+12,-216.52034
307,episode reward,1.6716E+12,-201.4311066
308,episode reward,1.6716E+12,-217.391098
309,episode reward,1.6716E+12,-231.6550598
310,episode reward,1.6716E+12,-216.555603
311,episode reward,1.6716E+12,-238.1152191
312,episode reward,1.6716E+12,-255.3467712
313,episode reward,1.6716E+12,-219.6930847
314,episode reward,1.6716E+12,-248.1047974
315,episode reward,1.6716E+12,-185.6493988
316,episode reward,1.6716E+12,-217.3453369
317,episode reward,1.6716E+12,-235.3025513
318,episode reward,1.6716E+12,-214.0662384
319,episode reward,1.6716E+12,-221.3064575
320,episode reward,1.6716E+12,-228.3076019
321,episode reward,1.6716E+12,-206.4530334
322,episode reward,1.6716E+12,-221.0433197
323,episode reward,1.6716E+12,-175.6703186
324,episode reward,1.6716E+12,-204.0945282
325,episode reward,1.6716E+12,-200.9695435
326,episode reward,1.6716E+12,-191.7142639
327,episode reward,1.6716E+12,-183.4277802
328,episode reward,1.6716E+12,-235.7032928
329,episode reward,1.6716E+12,-246.8918152
330,episode reward,1.6716E+12,-201.5964355
331,episode reward,1.6716E+12,-222.4716187
332,episode reward,1.6716E+12,-190.1022339
333,episode reward,1.6716E+12,-227.2890778
