D2SAC,DSAC,DDPG,A3C,,
-213.3726807,-401.1364441,-839.8362427,-186.2111511,,
-181.2951813,-341.7996826,-750.7221069,-189.9538574,,
-181.1985474,-392.8874207,-511.8848877,-196.1013184,,
-219.208847,-346.2080688,-504.9266663,-199.5674438,,
-223.656723,-392.6941528,-557.9978027,-197.9325562,,
-238.9368896,-384.6835632,-665.4147949,-198.7938843,,
-206.0006256,-402.8328857,-597.4590454,-188.2608337,,
-222.549942,-366.0377197,-661.1798706,-187.7779541,,
-188.7366333,-374.1262817,-621.699585,-212.3406677,,
-204.4841919,-370.6743469,-691.953064,-202.2702332,,
-217.2201691,-311.9185486,-749.5133057,-190.178772,,
-215.085556,-370.4129639,-682.4974365,-200.6676941,,
-205.9086761,-399.5938416,-770.6181641,-217.2104797,,
-198.5002136,-283.9915161,-665.8034668,-187.3669128,,
-227.7162781,-376.6728821,-648.5162354,-209.6072388,,
-203.2536926,-361.7242126,-716.7659302,-185.0050049,,
-205.6012421,-322.859436,-618.638855,-193.3959656,,
-208.5834198,-326.4067993,-631.9191895,-190.3404846,,
-219.969574,-352.5069885,-698.8184814,-194.9944458,,
-194.13237,-330.5649414,-690.8026123,-188.4144897,,
-198.6260071,-269.6608887,-676.0786133,-202.5844727,,
-177.6367035,-193.8909454,-668.9874268,-188.2242432,,
-207.7872772,-269.1223145,-665.5292969,-184.1531982,,
-181.1886444,-218.5445557,-642.8526611,-191.1621094,,
-262.2796021,-181.3646088,-683.953125,-191.9548035,,
-221.5600586,-192.8462524,-689.3654785,-213.7499084,,
-194.1157227,-225.952713,-618.5704956,-205.4110413,,
-208.2113037,-166.6478577,-701.3122559,-190.7934265,,
-197.9492798,-168.2031097,-669.041687,-204.2284546,,
-223.0046997,-164.5699921,-746.5178833,-206.1611633,,
-195.9403687,-176.0324097,-729.4741821,-195.9851685,,
-185.8088989,-186.9297943,-614.0949097,-194.4411926,,
-187.6566925,-174.7626953,-699.2510986,-204.4257813,,
-202.5894165,-162.7066803,-700.3591309,-192.3368835,,
-190.6703186,-169.2145233,-608.0249023,-198.049408,,
