master,node1,node2,node3,
23.08435028,10.06965049,10.3902805,24.05811928,
23.08435028,10.06965049,10.3902805,24.05811928,
23.08435028,10.06965049,10.3902805,24.05811928,
23.08435028,10.06965049,10.3902805,24.05811928,
23.08435028,11.06686109,10.3902805,24.05811928,
23.08435028,11.06686109,10.3902805,24.05811928,
23.08435028,11.06686109,10.3902805,24.05811928,
23.22162645,11.06686109,10.3902805,24.99991214,
23.22162645,11.06686109,10.3902805,24.99991214,
23.22162645,11.06686109,10.3902805,24.99991214,
23.22162645,11.06686109,11.21146048,24.99991214,
23.22162645,11.06686109,11.21146048,24.99991214,
23.22162645,11.06686109,11.21146048,24.99991214,
23.22162645,11.06686109,11.21146048,24.99991214,
23.22162645,11.06686109,11.21146048,24.99991214,
23.22162645,11.06686109,11.21146048,24.99991214,
23.22162645,11.06686109,11.21146048,24.99991214,
23.22162645,11.06686109,11.21146048,24.99991214,
23.22162645,11.06686109,11.21146048,24.99991214,
23.22162645,10.64895173,11.21146048,24.99991214,
23.22162645,10.64895173,11.21146048,24.99991214,
23.22162645,10.64895173,11.21146048,24.99991214,
23.34983519,10.64895173,11.21146048,24.12076278,
23.34983519,10.64895173,11.21146048,24.12076278,
23.34983519,10.64895173,11.21146048,24.12076278,
23.34983519,10.64895173,10.27126877,24.12076278,
23.34983519,10.64895173,10.27126877,24.12076278,
23.34983519,10.64895173,10.27126877,24.12076278,
23.34983519,10.64895173,10.27126877,24.12076278,
23.34983519,10.64895173,10.27126877,24.12076278,
23.34983519,10.64895173,10.27126877,24.12076278,
23.08435028,10.06965049,10.27126877,24.05811928,最小值
23.34983519,11.06686109,11.21146048,24.99991214,最大值
23.22336612,10.75433093,10.7491748,24.51720316,平均值
,,,,
0.13901584,0.68468044,0.47790603,0.45908388,
