node4,
1.3908881293402777,
1.3908881293402777,
1.3908881293402777,
1.3908881293402777,
1.3908881293402777,
1.3908881293402777,
5.519561767578125,
5.519561767578125,
5.519561767578125,
5.519561767578125,
5.519561767578125,
5.519561767578125,
5.519561767578125,
5.519561767578125,
5.519561767578125,
5.519561767578125,
5.519561767578125,
5.519561767578125,
5.519561767578125,
5.519561767578125,
5.519561767578125,
8.374374220106338,
8.374374220106338,
8.374374220106338,
8.374374220106338,
8.374374220106338,
8.374374220106338,
8.374374220106338,
8.374374220106338,
8.374374220106338,
8.374374220106338,
8.374374220106338,
8.374374220106338,
8.374374220106338,
8.374374220106338,
8.374374220106338,
